date,cpi,ggdp
2003-01-01,104.27,0.86346
2003-02-01,101.85,0.88561
2003-03-01,101.82,1.06747
2003-04-01,102.01,1.02496
2003-05-01,102.03,0.96273
2003-06-01,101.75,1.08481
2003-07-01,101.47,1.15273
2003-08-01,100.21,1.34684
2003-09-01,101.65,1.48779
2003-10-01,101.93,1.00248
2003-11-01,101.86,1.23948
2003-12-01,102.02,1.41902
2004-01-01,101.85,0.93771
2004-02-01,101.85,0.98626
2004-03-01,101.18,1.16859
2004-04-01,101.29,1.13693
2004-05-01,100.68,1.08399
2004-06-01,101.03,1.21158
2004-07-01,100.91,1.2561
2004-08-01,99.82,1.52181
2004-09-01,100.09,1.68947
2004-10-01,101.23,1.12664
2004-11-01,101.56,1.36866
2004-12-01,102.1,1.5929
2005-01-01,100.71,1.03617
2005-02-01,100.93,1.07442
2005-03-01,100.99,1.28813
2005-04-01,100.53,1.24103
2005-05-01,100.57,1.16257
2005-06-01,100.15,1.31652
2005-07-01,100.85,1.3673
2005-08-01,99.73,1.63364
2005-09-01,100.05,1.85649
2005-10-01,100.94,1.2093
2005-11-01,100.5,1.51608
2005-12-01,101.73,1.79659
2006-01-01,101.3,1.14601
2006-02-01,100.16,1.19992
2006-03-01,100.13,1.43821
2006-04-01,100.88,1.3567
2006-05-01,100.33,1.28813
2006-06-01,100.24,1.43734
2006-07-01,100.51,1.50238
2006-08-01,99.34,1.77318
2006-09-01,100.18,2.00807
2006-10-01,100.7,1.36737
2006-11-01,101.84,1.67655
2006-12-01,100.84,1.95254
2007-01-01,101.76,1.26772
2007-02-01,100.84,1.30577
2007-03-01,100.38,1.55501
2007-04-01,99.82,1.48016
2007-05-01,100.38,1.41435
2007-06-01,100.43,1.56543
2007-07-01,100.48,1.65154
2007-08-01,100.26,1.92695
2007-09-01,100.94,2.18755
2007-10-01,101.54,1.44834
2007-11-01,102.22,1.79667
2007-12-01,102.44,2.10388
2008-01-01,102.54,1.37927
2008-02-01,100.66,1.46082
2008-03-01,100.84,1.75492
2008-04-01,101.15,1.64294
2008-05-01,101.28,1.54213
2008-06-01,100.6,1.74621
2008-07-01,100.76,1.82984
2008-08-01,100.17,2.16132
2008-09-01,101.03,2.44041
2008-10-01,101.01,1.58326
2008-11-01,101.35,1.93799
2008-12-01,101.18,2.234
2009-01-01,104.12,1.41555
2009-02-01,101.23,1.45863
2009-03-01,100.64,1.77138
2009-04-01,100.43,1.60487
2009-05-01,100.32,1.58412
2009-06-01,100.43,1.72033
2009-07-01,100.38,1.84441
2009-08-01,99.78,2.05869
2009-09-01,100.33,2.46797
2009-10-01,100.43,1.43976
2009-11-01,100.32,2.02964
2009-12-01,101.33,2.36118
2010-01-01,100.79,1.44811
2010-02-01,100.53,1.54678
2010-03-01,101.12,1.85043
2010-04-01,100.67,1.81513
2010-05-01,100.79,1.71154
2010-06-01,100.18,1.83739
2010-07-01,100.29,1.99469
2010-08-01,100.61,2.09233
2010-09-01,101.61,2.72366
2010-10-01,101.05,1.58556
2010-11-01,100.9,2.23274
2010-12-01,100.97,2.59777
2011-01-01,101.42,1.59339
2011-02-01,102.69,1.70356
2011-03-01,101.89,2.076
2011-04-01,104.46,2.07265
2011-05-01,113.14,1.93211
2011-06-01,108.62,1.98144
2011-07-01,103.51,2.03201
2011-08-01,108.93,2.18949
2011-09-01,113.59,2.71266
2011-10-01,108.17,1.65225
2011-11-01,108.11,2.16719
2011-12-01,102.28,2.62264
2012-01-01,101.93,1.66218
2012-02-01,101.54,1.74708
2012-03-01,101.46,2.16403
2012-04-01,101.71,2.14766
2012-05-01,101.58,2.02021
2012-06-01,101.82,2.00421
2012-07-01,101.34,2.11449
2012-08-01,102.33,2.18666
2012-09-01,101.3,2.75718
2012-10-01,101.78,1.66037
2012-11-01,101.69,2.1237
2012-12-01,101.39,2.57938
2013-01-01,103.01,1.75671
2013-02-01,101.24,1.81451
2013-03-01,101.05,2.23909
2013-04-01,100.46,2.17258
2013-05-01,100.72,1.93893
2013-06-01,100.33,2.02949
2013-07-01,100.98,2.1689
2013-08-01,100.13,2.20704
2013-09-01,101.67,2.79682
2013-10-01,101.85,1.65603
2013-11-01,101.55,2.06932
2013-12-01,102.39,2.57163
2014-01-01,101.61,1.7366
2014-02-01,101.99,1.79677
2014-03-01,101.26,2.33116
2014-04-01,101.55,2.20331
2014-05-01,102.22,2.00256
2014-06-01,101.15,2.01324
2014-07-01,100.85,2.22642
2014-08-01,100.8,2.23822
2014-09-01,101.23,2.8441
2014-10-01,101.24,1.75218
2014-11-01,100.62,2.1278
2014-12-01,100.62,2.59272
2015-01-01,102.36,1.72339
2015-02-01,101.65,1.78342
2015-03-01,100.83,2.2377
2015-04-01,100.9,2.10909
2015-05-01,100.65,1.89988
2015-06-01,100.72,1.93904
2015-07-01,100.21,2.03048
2015-08-01,100.22,2.22823
2015-09-01,101.33,2.74244
2015-10-01,100.83,1.63737
2015-11-01,100.48,2.02234
2015-12-01,101.2,2.52118
2016-01-01,101.86,1.65022
2016-02-01,102.91,1.72021
2016-03-01,100.83,2.175
2016-04-01,100.71,2.08686
2016-05-01,100.49,1.85305
2016-06-01,100.39,1.92937
2016-07-01,100.35,1.95557
2016-08-01,99.85,2.12082
2016-09-01,100.67,2.68717
2016-10-01,100.8,1.61396
2016-11-01,100.79,1.99064
2016-12-01,100.48,2.47886
2017-01-01,100.87,1.64197
2017-02-01,100.54,1.69476
2017-03-01,100.28,2.23088
2017-04-01,100.66,2.11811
2017-05-01,100.28,1.90397
2017-06-01,100.71,1.96201
2017-07-01,99.89,1.99241
2017-08-01,99.21,2.22585
2017-09-01,100.25,2.73554
2017-10-01,101.2,1.72218
2017-11-01,100.45,2.078
2017-12-01,100.17,2.56261
2018-01-01,100.75,1.72243
2018-02-01,100.91,1.80783
2018-03-01,100.78,2.32687
2018-04-01,100.29,2.19751
2018-05-01,99.72,1.99536
2018-06-01,100.43,2.04463
2018-07-01,99.84,2.07251
2018-08-01,100.13,2.20208
2018-09-01,100.81,2.82099
2018-10-01,100.51,1.76567
2018-11-01,100.56,2.08589
2018-12-01,100.78,2.59744
2019-01-01,100.88,1.73793
2019-02-01,101.34,1.82763
2019-03-01,100.38,2.37357
2019-04-01,100.04,2.24438
2019-05-01,100.33,1.97703
2019-06-01,99.94,2.05503
2019-07-01,100.19,2.1499
2019-08-01,99.77,2.20017
2019-09-01,100.46,2.85484
2019-10-01,100.54,1.80782
2019-11-01,100.23,2.11301
2019-12-01,100.54,2.65685
2020-01-01,100.86,1.71012
2020-02-01,101,1.84118
2020-03-01,100.85,2.39377
2020-04-01,100.58,2.14842
2020-05-01,99.85,1.91464
2020-06-01,100.19,2.0242
2020-07-01,100.19,2.13202
2020-08-01,100.17,2.23563
2020-09-01,100.94,2.84571
2020-10-01,100.59,1.81278
2020-11-01,100.66,2.11944
2020-12-01,101.23,2.63825
2021-01-01,101.14,1.74261
2021-02-01,101.94,1.85485
2021-03-01,100.69,2.43678
2021-04-01,100.74,2.31824
2021-05-01,100.55,2.02595
2021-06-01,100.65,2.12316
2021-07-01,100.07,2.18684
2021-08-01,100.18,2.23635
2021-09-01,101.33,2.87903
2021-10-01,100.89,1.78111
2021-11-01,100.51,2.14925
2021-12-01,100.87,2.70157
2022-01-01,101.53,1.78966
2022-02-01,101.57,1.85097
2022-03-01,106.05,2.36947
2022-04-01,101.57,2.15027
2022-05-01,100.72,1.84444
2022-06-01,101.13,1.94672
2022-07-01,100.5,1.95842
2022-08-01,100.05,2.1686
2022-09-01,100.87,2.77469
2022-10-01,99,1.7172
2022-11-01,98.9,2.04824
2022-12-01,100.42,2.5746
2023-01-01,100.76,1.70018
2023-02-01,101.26,1.80939
2023-03-01,100.55,2.37432
2023-04-01,100.35,2.22752
2023-05-01,99.72,1.98821
2023-06-01,100.3,2.09094
