Date,CPI_MM
2003.01,103.4361
2003.02,101.7793
2003.03,101.9660
2003.04,102.1638
2003.05,102.2388
2003.06,102.0521
2003.07,101.7045
2003.08,101.1854
2003.09,101.8872
2003.10,101.6709
2003.11,101.4384
2003.12,101.3000
2004.01,101.0723
2004.02,101.7601
2004.03,101.3114
2004.04,101.4445
2004.05,100.8894
2004.06,101.3351
2004.07,101.1358
2004.08,100.7646
2004.09,100.3251
2004.10,100.9774
2004.11,101.1402
2004.12,101.3865
2005.01,99.9702
2005.02,100.8312
2005.03,101.1131
2005.04,100.6930
2005.05,100.7790
2005.06,100.4642
2005.07,101.0753
2005.08,100.6329
2005.09,100.2657
2005.10,100.6970
2005.11,100.0890
2005.12,101.0471
2006.01,100.5566
2006.02,100.0535
2006.03,100.2531
2006.04,101.0618
2006.05,100.5376
2006.06,100.5637
2006.07,100.7514
2006.08,100.1944
2006.09,100.3588
2006.10,100.4681
2006.11,101.4250
2006.12,100.2068
2007.01,101.0099
2007.02,100.7099
2007.03,100.4984
2007.04,100.0276
2007.05,100.5887
2007.06,100.7628
2007.07,100.7482
2007.08,101.0677
2007.09,101.0731
2007.10,101.3193
2007.11,101.8323
2007.12,101.8418
2008.01,101.7985
2008.02,100.4967
2008.03,100.9401
2008.04,101.3704
2008.05,101.4842
2008.06,100.9342
2008.07,101.0509
2008.08,100.9183
2008.09,101.1159
2008.10,100.8071
2008.11,101.0270
2008.12,100.6485
2009.01,103.4038
2009.02,101.0111
2009.03,100.7082
2009.04,100.6559
2009.05,100.5216
2009.06,100.7577
2009.07,100.6872
2009.08,100.4614
2009.09,100.3688
2009.10,100.2390
2009.11,100.0651
2009.12,100.8602
2010.01,100.1351
2010.02,100.2564
2010.03,101.1613
2010.04,100.9073
2010.05,100.9960
2010.06,100.5026
2010.07,100.6174
2010.08,101.2327
2010.09,101.6051
2010.10,100.8556
2010.11,100.6933
2010.12,100.5662
2011.01,100.7818
2011.02,102.3558
2011.03,101.9265
2011.04,104.7191
2011.05,113.3821
2011.06,108.9591
2011.07,103.8651
2011.08,109.5545
2011.09,113.5592
2011.10,107.9540
2011.11,107.9259
2011.12,101.9183
2012.01,101.2848
2012.02,101.1775
2012.03,101.5085
2012.04,101.9492
2012.05,101.7956
2012.06,102.1270
2012.07,101.7045
2012.08,102.9065
2012.09,101.2567
2012.10,101.5748
2012.11,101.5633
2012.12,101.0662
2013.01,102.3384
2013.02,100.8280
2013.03,101.1037
2013.04,100.6739
2013.05,100.9298
2013.06,100.6286
2013.07,101.3662
2013.08,100.7234
2013.09,101.6058
2013.10,101.6471
2013.11,101.4758
2013.12,102.0955
2014.01,100.9467
2014.02,101.5054
2014.03,101.3071
2014.04,101.7279
2014.05,102.4259
2014.06,101.4305
2014.07,101.2576
2014.08,101.4242
2014.09,101.1491
2014.10,101.0514
2014.11,100.6004
2014.12,100.3718
2015.01,101.6944
2015.02,101.0928
2015.03,100.8641
2015.04,101.0450
2015.05,100.8751
2015.06,100.9761
2015.07,100.6327
2015.08,100.8635
2015.09,101.2346
2015.10,100.6486
2015.11,100.4905
2015.12,100.9764
2016.01,101.2154
2016.02,102.2893
2016.03,100.8442
2016.04,100.8270
2016.05,100.7440
2016.06,100.6205
2016.07,100.7808
2016.08,100.5109
2016.09,100.5677
2016.10,100.6141
2016.11,100.8134
2016.12,100.2743
2017.01,100.2661
2017.02,99.9168
2017.03,100.2723
2017.04,100.7517
2017.05,100.5591
2017.06,100.9165
2017.07,100.3229
2017.08,99.8749
2017.09,100.1384
2017.10,101.0133
2017.11,100.4907
2017.12,99.9704
2018.01,100.1730
2018.02,100.2622
2018.03,100.7475
2018.04,100.3675
2018.05,100.0262
2018.06,100.6305
2018.07,100.2746
2018.08,100.7951
2018.09,100.6831
2018.10,100.3439
2018.11,100.6273
2018.12,100.5703
2019.01,100.3176
2019.02,100.6604
2019.03,100.3311
2019.04,100.1017
2019.05,100.6579
2019.06,100.1409
2019.07,100.6252
2019.08,100.4330
2019.09,100.3229
2019.10,100.3964
2019.11,100.3288
2019.12,100.3205
2020.01,100.3067
2020.02,100.2969
2020.03,100.7874
2020.04,100.6169
2020.05,100.1953
2020.06,100.3864
2020.07,100.6294
2020.08,100.8432
2020.09,100.7932
2020.10,100.4652
2020.11,100.7914
2020.12,100.9995
2021.01,100.5859
2021.02,101.2072
2021.03,100.6213
2021.04,100.7519
2021.05,100.9100
2021.06,100.8332
2021.07,100.5136
2021.08,100.8686
2021.09,101.1803
2021.10,100.7760
2021.11,100.6733
2021.12,100.6356
2022.01,100.9702
2022.02,100.8267
2022.03,105.9696
2022.04,101.5615
2022.05,101.0924
2022.06,101.3009
2022.07,100.9390
2022.08,100.7530
2022.09,100.7273
2022.10,98.8930
2022.11,99.0801
2022.12,100.1780
2023.01,100.1984
2023.02,100.5082
2023.03,100.4676
2023.04,100.3388
2023.05,100.1029
2023.06,100.4669
2023.07,100.7097
2023.08,100.3874
2023.09,100.5203
2023.10,100.5128
2023.11,100.6500
2023.12,100.8700
