Дата,Газпром,Лукойл,Роснефть,Сбербанк,Ростелеком
28.12.2012,"   144,31","  2 005,90","   269,51","   92,85","   119,75"
27.12.2012,"   145,00","  2 014,00","   267,86","   92,67","   118,88"
26.12.2012,"   144,90","  2 018,40","   267,18","   92,27","   118,65"
25.12.2012,"   144,54","  2 014,00","   265,29","   92,70","   118,38"
24.12.2012,"   145,24","  2 016,10","   265,59","   92,77","   119,65"
21.12.2012,"   143,38","  2 024,00","   261,02","   93,55","   119,09"
20.12.2012,"   141,33","  2 018,20","   261,34","   94,44","   119,65"
19.12.2012,"   141,16","  2 010,80","   262,46","   95,15","   120,47"
18.12.2012,"   140,79","  2 014,40","   262,69","   94,88","   118,76"
17.12.2012,"   139,26","  1 998,80","   258,70","   93,36","   117,87"
14.12.2012,"   139,47","  2 002,10","   257,32","   93,36","   118,31"
13.12.2012,"   139,93","  2 002,30","   252,41","   93,13","   118,26"
12.12.2012,"   140,75","  2 015,60","   251,42","   93,87","   117,23"
11.12.2012,"   139,97","  1 985,80","   248,94","   93,50","   115,06"
10.12.2012,"   140,16","  1 996,50","   250,65","   93,36","   113,45"
07.12.2012,"   139,14","  1 978,60","   248,10","   92,76","   112,72"
06.12.2012,"   140,08","  1 985,50","   248,73","   93,70","   112,38"
05.12.2012,"   141,58","  1 968,60","   245,74","   93,42","   109,42"
04.12.2012,"   140,21","  1 938,80","   242,25","   92,12","   108,91"
03.12.2012,"   139,71","  1 947,90","   242,96","   91,86","   108,12"
30.11.2012,"   137,88","  1 926,00","   245,38","   90,32","   109,60"
29.11.2012,"   137,79","  1 899,20","   242,85","   88,34","   110,07"
28.11.2012,"   137,56","  1 901,80","   238,27","   88,03","   112,84"
27.11.2012,"   139,16","  1 923,80","   241,77","   89,37","   116,76"
26.11.2012,"   140,82","  1 919,30","   240,39","   89,51","   119,50"
23.11.2012,"   141,68","  1 918,50","   241,13","   88,76","   120,16"
22.11.2012,"   142,64","  1 914,70","   245,23","   87,73","   120,28"
21.11.2012,"   141,33","  1 912,00","   250,29","   87,32","   120,37"
20.11.2012,"   141,29","  1 904,60","   249,34","   86,98","   119,50"
19.11.2012,"   141,42","  1 902,20","   251,26","   86,97","   122,18"
16.11.2012,"   140,47","  1 884,20","   247,57","   85,91","   120,20"
15.11.2012,"   139,92","  1 877,10","   247,31","   85,09","   119,69"
14.11.2012,"   139,17","  1 854,20","   243,48","   84,62","   119,48"
13.11.2012,"   141,75","  1 864,80","   243,15","   85,28","   117,96"
12.11.2012,"   145,03","  1 921,70","   242,46","   86,20","   118,71"
09.11.2012,"   144,34","  1 917,00","   240,70","   85,56","   116,76"
08.11.2012,"   143,15","  1 921,70","   241,48","   87,70","   118,91"
07.11.2012,"   146,08","  1 940,90","   244,66","   90,90","   123,32"
06.11.2012,"   145,54","  1 950,80","   250,83","   91,55","   122,16"
02.11.2012,"   145,81","  1 934,70","   248,48","   92,09","   122,97"
01.11.2012,"   143,62","  1 901,60","   239,05","   91,16","   123,43"
31.10.2012,"   146,03","  1 913,90","   232,13","   91,84","   123,72"
30.10.2012,"   148,60","  1 899,80","   233,09","   91,58","   123,13"
29.10.2012,"   150,77","  1 885,80","   230,12","   91,53","   124,02"
26.10.2012,"   151,02","  1 891,20","   230,57","   91,85","   124,81"
25.10.2012,"   153,04","  1 920,70","   232,25","   93,20","   126,84"
24.10.2012,"   152,62","  1 922,70","   232,62","   93,50","   129,55"
23.10.2012,"   154,47","  1 950,60","   222,10","   93,54","   132,12"
22.10.2012,"   155,16","  1 973,60","   217,40","   93,72","   132,53"
19.10.2012,"   154,42","  1 978,70","   217,52","   93,17","   133,49"
18.10.2012,"   155,84","  1 980,60","   216,61","   93,69","   135,72"
17.10.2012,"   155,48","  1 974,50","   211,91","   92,84","   135,13"
16.10.2012,"   153,21","  1 938,30","   209,12","   91,71","   132,73"
15.10.2012,"   152,44","  1 929,30","   208,54","   91,70","   132,90"
12.10.2012,"   152,53","  1 931,70","   208,82","   91,97","   132,45"
11.10.2012,"   155,19","  1 940,90","   210,28","   92,60","   134,55"
10.10.2012,"   155,83","  1 948,90","   210,56","   92,19","   135,54"
09.10.2012,"   158,36","  1 951,50","   211,51","   92,69","   136,24"
08.10.2012,"   158,27","  1 928,10","   210,93","   92,51","   134,16"
05.10.2012,"   159,18","  1 941,40","   211,86","   92,87","   136,91"
04.10.2012,"   156,49","  1 926,80","   208,05","   91,42","   135,09"
03.10.2012,"   158,67","  1 955,90","   210,02","   91,93","   136,21"
02.10.2012,"   159,28","  1 960,00","   211,31","   91,77","   137,38"
01.10.2012,"   159,30","  1 943,50","   211,50","   91,77","   136,73"
28.09.2012,"   157,86","  1 927,00","   209,70","   90,88","   134,95"
27.09.2012,"   157,37","  1 909,10","   206,12","   90,16","   132,84"
26.09.2012,"   158,22","  1 916,30","   205,52","   92,22","   134,20"
25.09.2012,"   161,73","  1 949,40","   209,66","   94,02","   139,41"
24.09.2012,"   161,71","  1 932,50","   207,90","   93,79","   138,78"
21.09.2012,"   164,41","  1 966,70","   213,03","   94,09","   138,10"
20.09.2012,"   163,54","  1 962,20","   209,07","   93,48","   135,98"
19.09.2012,"   165,91","  1 975,40","   208,71","   93,75","   134,27"
18.09.2012,"   168,16","  2 010,10","   211,30","   95,41","   134,62"
17.09.2012,"   169,72","  2 031,60","   212,03","   95,47","   132,33"
14.09.2012,"   168,65","  1 993,70","   209,85","   96,22","   129,44"
13.09.2012,"   162,42","  1 933,00","   203,03","   93,00","   126,72"
12.09.2012,"   163,68","  1 930,20","   203,40","   93,90","   127,63"
11.09.2012,"   163,27","  1 923,10","   201,19","   93,75","   127,98"
10.09.2012,"   163,72","  1 931,40","   201,68","   94,12","   126,42"
07.09.2012,"   162,27","  1 919,70","   201,04","   94,84","   126,39"
06.09.2012,"   156,63","  1 877,80","   197,57","   93,42","   124,98"
05.09.2012,"   155,84","  1 866,70","   195,47","   92,63","   123,79"
04.09.2012,"   158,07","  1 869,80","   197,36","   93,85","   125,57"
03.09.2012,"   158,19","  1 849,70","   195,65","   94,04","   124,00"
31.08.2012,"   156,19","  1 848,70","   195,10","   93,62","   124,98"
30.08.2012,"   155,49","  1 872,50","   196,46","   93,99","   125,31"
29.08.2012,"   156,31","  1 876,80","   198,39","   94,81","   125,51"
28.08.2012,"   156,40","  1 880,80","   199,44","   93,99","   125,64"
27.08.2012,"   156,63","  1 878,80","   200,03","   93,04","   125,23"
24.08.2012,"   156,63","  1 875,10","   199,74","   92,73","   125,22"
23.08.2012,"   158,20","  1 888,80","   202,74","   94,06","   126,47"
22.08.2012,"   156,02","  1 863,90","   200,41","   92,80","   124,26"
21.08.2012,"   156,52","  1 880,00","   201,00","   92,94","   125,22"
20.08.2012,"   154,94","  1 857,40","   198,85","   91,66","   123,73"
17.08.2012,"   157,40","  1 873,70","   201,65","   92,82","   125,76"
16.08.2012,"   156,11","  1 865,10","   201,24","   93,05","   126,08"
15.08.2012,"   154,60","  1 865,20","   200,11","   92,50","   124,63"
14.08.2012,"   156,16","  1 885,00","   203,64","   93,69","   125,74"
13.08.2012,"   155,49","  1 880,60","   202,89","   93,72","   124,55"
10.08.2012,"   153,76","  1 862,20","   200,37","   92,59","   121,08"
09.08.2012,"   155,34","  1 867,50","   202,67","   94,04","   119,28"
08.08.2012,"   155,17","  1 871,20","   200,83","   93,58","   116,73"
07.08.2012,"   155,39","  1 857,90","   198,14","   93,76","   116,84"
06.08.2012,"   153,22","  1 840,30","   196,44","   92,95","   117,03"
03.08.2012,"   149,16","  1 820,40","   192,97","   90,05","   115,64"
02.08.2012,"   149,48","  1 837,20","   195,34","   89,30","   113,87"
01.08.2012,"   150,42","  1 833,90","   197,11","   90,07","   112,99"
