date,RTV,IPV,BIV,ICV,BIVMP,APV
1/1/2009,"737,5","8538,9","1,0","1618,0","0,7","622,7"
2/1/2009,"691,3","8263,6","0,5","1800,2","0,5","602,8"
3/1/2009,"837,4","8180,9","0,5","1574,2","0,6","714,2"
4/1/2009,"771,3","6575,9","0,7","2462,8","0,6","748,2"
5/1/2009,"726,9","7190,6","0,6","3028,5","0,6","878,1"
6/1/2009,"792,3","6808,6","0,7","2357,2","0,6","1371,9"
7/1/2009,"665,0","7237,9","1,0","2505,9","0,6","2174,9"
8/1/2009,"673,7","6800,4","0,7","2573,5","0,6","3334,7"
9/1/2009,"1110,2","6564,0","0,7","2570,2","0,6","2647,6"
10/1/2009,"986,1","5982,6","1,1","2197,4","0,6","1928,4"
11/1/2009,"941,1","7461,9","0,7","2066,1","0,6","730,4"
12/1/2009,"1973,5","8162,2","0,8","1781,1","0,6","584,3"
1/1/2010,"794,3","9068,3","0,9","1433,5","0,7","657,6"
2/1/2010,"757,4","8876,7","0,4","1636,0","0,5","632,9"
3/1/2010,"945,7","8787,2","0,5","1793,0","0,6","750,2"
4/1/2010,"865,2","7541,1","0,8","2615,0","0,6","789,8"
5/1/2010,"827,2","8080,2","0,7","3069,0","0,6","931,8"
6/1/2010,"900,1","7533,0","0,8","2859,3","0,6","1393,1"
7/1/2010,"774,1","8242,3","1,2","2785,0","0,7","2583,5"
8/1/2010,"791,9","7666,1","0,8","2930,1","0,8","2823,7"
9/1/2010,"1288,4","7379,0","0,9","3398,1","0,7","2860,0"
10/1/2010,"1150,2","7049,7","1,2","2868,7","0,7","1991,7"
11/1/2010,"1106,7","8616,0","0,9","2732,8","0,7","733,7"
12/1/2010,"2417,3","9196,8","0,9","2607,1","0,8","598,9"
1/1/2011,"955,5","9585,2","1,2","1974,0","0,9","697,7"
2/1/2011,"929,8","10279,9","0,5","2065,5","0,7","665,0"
3/1/2011,"1134,0","9994,7","0,7","2131,1","0,7","779,9"
4/1/2011,"1035,9","8766,2","1,0","3131,5","0,7","806,6"
