Date,CPI_MM
01.01.2003,103.4361
01.02.2003,101.7793
01.03.2003,101.9660
01.04.2003,102.1638
01.05.2003,102.2388
01.06.2003,102.0521
01.07.2003,101.7045
01.08.2003,101.1854
01.09.2003,101.8872
01.10.2003,101.6709
01.11.2003,101.4384
01.12.2003,101.3000
01.01.2004,101.0723
01.02.2004,101.7601
01.03.2004,101.3114
01.04.2004,101.4445
01.05.2004,100.8894
01.06.2004,101.3351
01.07.2004,101.1358
01.08.2004,100.7646
01.09.2004,100.3251
01.10.2004,100.9774
01.11.2004,101.1402
01.12.2004,101.3865
01.01.2005,99.9702
01.02.2005,100.8312
01.03.2005,101.1131
01.04.2005,100.6930
01.05.2005,100.7790
01.06.2005,100.4642
01.07.2005,101.0753
01.08.2005,100.6329
01.09.2005,100.2657
01.10.2005,100.6970
01.11.2005,100.0890
01.12.2005,101.0471
01.01.2006,100.5566
01.02.2006,100.0535
01.03.2006,100.2531
01.04.2006,101.0618
01.05.2006,100.5376
01.06.2006,100.5637
01.07.2006,100.7514
01.08.2006,100.1944
01.09.2006,100.3588
01.10.2006,100.4681
01.11.2006,101.4250
01.12.2006,100.2068
01.01.2007,101.0099
01.02.2007,100.7099
01.03.2007,100.4984
01.04.2007,100.0276
01.05.2007,100.5887
01.06.2007,100.7628
01.07.2007,100.7482
01.08.2007,101.0677
01.09.2007,101.0731
01.10.2007,101.3193
01.11.2007,101.8323
01.12.2007,101.8418
01.01.2008,101.7985
01.02.2008,100.4967
01.03.2008,100.9401
01.04.2008,101.3704
01.05.2008,101.4842
01.06.2008,100.9342
01.07.2008,101.0509
01.08.2008,100.9183
01.09.2008,101.1159
01.10.2008,100.8071
01.11.2008,101.0270
01.12.2008,100.6485
01.01.2009,103.4038
01.02.2009,101.0111
01.03.2009,100.7082
01.04.2009,100.6559
01.05.2009,100.5216
01.06.2009,100.7577
01.07.2009,100.6872
01.08.2009,100.4614
01.09.2009,100.3688
01.10.2009,100.2390
01.11.2009,100.0651
01.12.2009,100.8602
01.01.2010,100.1351
01.02.2010,100.2564
01.03.2010,101.1613
01.04.2010,100.9073
01.05.2010,100.9960
01.06.2010,100.5026
01.07.2010,100.6174
01.08.2010,101.2327
01.09.2010,101.6051
01.10.2010,100.8556
01.11.2010,100.6933
01.12.2010,100.5662
01.01.2011,100.7818
01.02.2011,102.3558
01.03.2011,101.9265
01.04.2011,104.7191
01.05.2011,113.3821
01.06.2011,108.9591
01.07.2011,103.8651
01.08.2011,109.5545
01.09.2011,113.5592
01.10.2011,107.9540
01.11.2011,107.9259
01.12.2011,101.9183
01.01.2012,101.2848
01.02.2012,101.1775
01.03.2012,101.5085
01.04.2012,101.9492
01.05.2012,101.7956
01.06.2012,102.1270
01.07.2012,101.7045
01.08.2012,102.9065
01.09.2012,101.2567
01.10.2012,101.5748
01.11.2012,101.5633
01.12.2012,101.0662
01.01.2013,102.3384
01.02.2013,100.8280
01.03.2013,101.1037
01.04.2013,100.6739
01.05.2013,100.9298
01.06.2013,100.6286
01.07.2013,101.3662
01.08.2013,100.7234
01.09.2013,101.6058
01.10.2013,101.6471
01.11.2013,101.4758
01.12.2013,102.0955
01.01.2014,100.9467
01.02.2014,101.5054
01.03.2014,101.3071
01.04.2014,101.7279
01.05.2014,102.4259
01.06.2014,101.4305
01.07.2014,101.2576
01.08.2014,101.4242
01.09.2014,101.1491
01.10.2014,101.0514
01.11.2014,100.6004
01.12.2014,100.3718
01.01.2015,101.6944
01.02.2015,101.0928
01.03.2015,100.8641
01.04.2015,101.0450
01.05.2015,100.8751
01.06.2015,100.9761
01.07.2015,100.6327
01.08.2015,100.8635
01.09.2015,101.2346
01.10.2015,100.6486
01.11.2015,100.4905
01.12.2015,100.9764
01.01.2016,101.2154
01.02.2016,102.2893
01.03.2016,100.8442
01.04.2016,100.8270
01.05.2016,100.7440
01.06.2016,100.6205
01.07.2016,100.7808
01.08.2016,100.5109
01.09.2016,100.5677
01.10.2016,100.6141
01.11.2016,100.8134
01.12.2016,100.2743
01.01.2017,100.2661
01.02.2017,99.9168
01.03.2017,100.2723
01.04.2017,100.7517
01.05.2017,100.5591
01.06.2017,100.9165
01.07.2017,100.3229
01.08.2017,99.8749
01.09.2017,100.1384
01.10.2017,101.0133
01.11.2017,100.4907
01.12.2017,99.9704
01.01.2018,100.1730
01.02.2018,100.2622
01.03.2018,100.7475
01.04.2018,100.3675
01.05.2018,100.0262
01.06.2018,100.6305
01.07.2018,100.2746
01.08.2018,100.7951
01.09.2018,100.6831
01.10.2018,100.3439
01.11.2018,100.6273
01.12.2018,100.5703
01.01.2019,100.3176
01.02.2019,100.6604
01.03.2019,100.3311
01.04.2019,100.1017
01.05.2019,100.6579
01.06.2019,100.1409
01.07.2019,100.6252
01.08.2019,100.4330
01.09.2019,100.3229
01.10.2019,100.3964
01.11.2019,100.3288
01.12.2019,100.3205
01.01.2020,100.3067
01.02.2020,100.2969
01.03.2020,100.7874
01.04.2020,100.6169
01.05.2020,100.1953
01.06.2020,100.3864
01.07.2020,100.6294
01.08.2020,100.8432
01.09.2020,100.7932
01.10.2020,100.4652
01.11.2020,100.7914
01.12.2020,100.9995
01.01.2021,100.5859
01.02.2021,101.2072
01.03.2021,100.6213
01.04.2021,100.7519
01.05.2021,100.9100
01.06.2021,100.8332
01.07.2021,100.5136
01.08.2021,100.8686
01.09.2021,101.1803
01.10.2021,100.7760
01.11.2021,100.6733
01.12.2021,100.6356
01.01.2022,100.9702
01.02.2022,100.8267
01.03.2022,105.9696
01.04.2022,101.5615
01.05.2022,101.0924
01.06.2022,101.3009
01.07.2022,100.9390
01.08.2022,100.7530
01.09.2022,100.7273
01.10.2022,98.8930
01.11.2022,99.0801
01.12.2022,100.1780
01.01.2023,100.1984
01.02.2023,100.5082
01.03.2023,100.4676
01.04.2023,100.3388
01.05.2023,100.1029
01.06.2023,100.4669
01.07.2023,100.7097
01.08.2023,100.3874
01.09.2023,100.5203
01.10.2023,100.5128
01.11.2023,100.6500
01.12.2023,100.8700
