Date,CPI_QQ
2016-07-01,101.8899
2016-10-01,101.7027
2017-01-01,100.5541
2017-04-01,101.8991
2017-07-01,100.5699
2017-10-01,101.2712
2018-01-01,101.2898
2018-04-01,101.0958
2018-07-01,101.6177
2018-10-01,101.5584
2019-01-01,101.389
2019-04-01,100.9477
2019-07-01,101.221
2019-10-01,101.0655
2020-01-01,101.6153
2020-04-01,100.9371
2020-07-01,102.1167
2020-10-01,102.4795
2021-01-01,102.7238
2021-04-01,102.205
2021-07-01,102.3177
2021-10-01,102.3607
2022-01-01,108.011
2022-04-01,103.774
2022-07-01,102.321
2022-10-01,98.5111
2023-01-01,101.3595
2023-04-01,100.4762
2023-07-01,100.5203
2023-10-01,100.87
