DATE;usd_byn;eur_byn;rur_byn
01.01.2005;2 170.00;2 955.65;77.91
02.01.2005;2 170.00;2 955.65;77.91
03.01.2005;2 170.00;2 955.65;77.91
04.01.2005;2 170.00;2 938.40;77.91
05.01.2005;2 170.00;2 909.43;77.91
06.01.2005;2 170.00;2 879.37;77.91
07.01.2005;2 170.00;2 863.64;77.91
08.01.2005;2 170.00;2 863.64;77.91
09.01.2005;2 170.00;2 863.64;77.91
10.01.2005;2 170.00;2 863.64;77.91
11.01.2005;2 170.00;2 843.24;77.91
12.01.2005;2 171.00;2 853.56;77.66
13.01.2005;2 171.00;2 841.95;77.87
14.01.2005;2 171.00;2 870.82;77.9
15.01.2005;2 172.00;2 844.99;77.72
16.01.2005;2 172.00;2 844.99;77.72
17.01.2005;2 172.00;2 844.99;77.72
18.01.2005;2 172.00;2 848.03;77.66
19.01.2005;2 172.00;2 828.49;77.26
20.01.2005;2 173.00;2 846.30;77.17
21.01.2005;2 173.00;2 823.27;77.17
22.01.2005;2 173.00;2 825.23;77.17
23.01.2005;2 173.00;2 825.23;77.17
24.01.2005;2 173.00;2 825.23;77.17
25.01.2005;2 173.00;2 842.83;77.56
26.01.2005;2 173.00;2 840.22;77.66
27.01.2005;2 173.00;2 824.25;77.33
28.01.2005;2 173.00;2 841.96;77.6
29.01.2005;2 173.00;2 833.37;77.37
30.01.2005;2 173.00;2 833.37;77.37
31.01.2005;2 173.00;2 833.37;77.37
01.02.2005;2 172.00;2 820.02;77.26
02.02.2005;2 172.00;2 830.66;77.67
03.02.2005;2 171.00;2 838.26;77.63
04.02.2005;2 169.00;2 823.71;77.44
05.02.2005;2 168.00;2 811.25;77.47
06.02.2005;2 168.00;2 811.25;77.47
07.02.2005;2 168.00;2 811.25;77.47
08.02.2005;2 168.00;2 784.80;77.09
09.02.2005;2 168.00;2 769.29;76.91
10.02.2005;2 169.00;2 770.90;77.1
11.02.2005;2 169.00;2 775.56;77.23
12.02.2005;2 167.00;2 787.85;77.2
13.02.2005;2 167.00;2 787.85;77.2
14.02.2005;2 167.00;2 787.85;77.2
15.02.2005;2 167.00;2 811.57;77.31
16.02.2005;2 168.00;2 815.69;77.37
17.02.2005;2 167.00;2 820.13;77.39
18.02.2005;2 166.00;2 826.85;77.36
19.02.2005;2 165.00;2 828.79;77.5
20.02.2005;2 165.00;2 828.79;77.5
