Country;Births/Woman;Life Expectancy;Female;Male
Sweden;1,54;79,97;82,78;77,31
Australia;1,76;80,13;83,13;77,27
Italy;1,26;79,4;82,52;76,47
Canada;1,61;79,83;83,38;76,44
Greece;1,35;78,89;81,65;76,32
Spain;1,26;79,23;82,8;75,87
Netherlands;1,65;78,74;81,76;75,85
UK;1,66;78,16;80,7;75,74
France;1,85;79,28;83,11;75,63
Germany;1,37;78,42;81,55;75,46
NZ;1,79;78,32;81,44;75,34
Belgium;1,62;78,29;81,78;74,97
Ireland;1,89;77,35;80,31;74,58
Denmark;1,73;77,1;79,87;74,48
US;2,07;77,14;80,05;74,37
Finland;1,7;77,92;81,68;74,28
Mexico;2,53;72,3;75,49;69,26
Brazil;2,01;71,13;75,3;67,16
Argentina;2,28;75,48;79,44;71,72
Chile;2,09;76,35;79,82;73,04
Peru;2,81;70,88;73,43;68,45
