Area,NumberOfRooms,Zip,price,latitude,longitude
44.0,2.0,1057,225000,52.3670713,4.8531117
298.0,6.0,1081,2298000,52.3337697,4.8522405
141.0,5.0,1027,750000,52.4119015,4.9624584
371.0,5.0,1018,1750000,52.3683871,4.9180909
168.0,6.0,1060,490000,40.8046725,-73.9634204
82.0,3.0,1064,230000,52.3724594,4.8192201
66.0,3.0,1057,349000,52.3670713,4.8531117
82.0,3.0,1055,345000,52.3817073,4.8540225
75.0,3.0,1015,450000,52.3790928,4.885109
85.0,3.0,1087,295000,52.3555895,5.0005613
200.0,7.0,1016,1200000,52.3711467,4.8837046
118.0,5.0,1035,335000,52.4168952,4.9067666
90.0,3.0,1011,449000,52.3729762,4.9039565
90.0,5.0,1075,499000,52.3515641,4.856651
137.0,6.0,1104,Prijs op aanvraag,52.3164474,4.9802023
84.0,3.0,1016,735000,52.3711467,4.8837046
35.0,2.0,1066,165000,52.3431932,4.817434
173.0,4.0,1082,950000,52.3314299,4.8766928
56.0,3.0,1076,339000,52.3440889,4.860684
60.0,3.0,1069,167500,52.3576375,4.7901227
101.0,3.0,1072,675000,52.3522009,4.8903141
166.0,6.0,1016,1250000,52.3711467,4.8837046
51.0,2.0,1011,390000,52.3729762,4.9039565
98.0,3.0,1035,450000,52.4168952,4.9067666
51.0,2.0,1054,365000,52.3612327,4.8653587
50.0,3.0,1094,280000,52.3636588,4.9355226
63.0,3.0,1054,455000,52.3612327,4.8653587
65.0,3.0,1062,252500,52.3517216,4.8371533
88.0,2.0,1017,875000,52.3641851,4.8907747
246.0,7.0,1086,900000,52.3617208,4.981714
152.0,5.0,1068,650000,52.3624004,4.8042058
85.0,4.0,1023,400000,52.3870802,4.9496855
183.0,6.0,1069,795015,52.3576375,4.7901227
118.0,4.0,1066,335000,52.3431932,4.817434
100.0,3.0,1087,324936,52.3555895,5.0005613
52.0,2.0,1017,425000,52.3641851,4.8907747
52.0,2.0,1015,475000,52.3790928,4.885109
64.0,2.0,1102,135000,52.3135175,4.9547795
84.0,4.0,1107,229500,52.2912462,4.9773243
67.0,3.0,1023,350000,52.3870802,4.9496855
71.0,2.0,1082,300000,52.3314299,4.8766928
145.0,5.0,1098,1150000,52.3511236,4.9482332
49.0,2.0,1097,275000,52.3449297,4.9319025
72.0,1.0,1031,400000,52.3903988,4.9020632
85.0,4.0,1015,575000,52.3790928,4.885109
175.0,5.0,1066,589000,52.3431932,4.817434
